IL_ID,İL ADI,ILCE_ID,İLÇE ADI,SEMT_ID,SEMT_ADI_BUYUK,POSTA_KODU
1,ADANA,1,SEYHAN,1,YAĞCAMİ,01010
1,ADANA,1,SEYHAN,2,HÜKÜMET,01020
1,ADANA,1,SEYHAN,3,SAYDAM,01030
1,ADANA,1,SEYHAN,4,AKKAPI,01040
1,ADANA,1,SEYHAN,5,GÜLBAHÇESİ,01050
1,ADANA,1,SEYHAN,6,KURUKÖPRÜ,01060
1,ADANA,1,SEYHAN,7,MEYDAN,01070
1,ADANA,1,SEYHAN,8,EMEK,01080
1,ADANA,1,SEYHAN,9,ŞAKİRPAŞA,01100
1,ADANA,1,SEYHAN,10,GAZİPAŞA,01120
1,ADANA,1,SEYHAN,11,DENİZLİ,01130
1,ADANA,1,SEYHAN,12,ZİYAPAŞA,01140
1,ADANA,1,SEYHAN,13,YEŞİLYURT,01150
1,ADANA,1,SEYHAN,14,MAVİBULVAR/YURT,01160
1,ADANA,1,SEYHAN,15,EMEKEVLER,01170
1,ADANA,1,SEYHAN,16,YEŞİLEVLER,01180
1,ADANA,1,SEYHAN,17,FEVZİPAŞA,01190
1,ADANA,1,SEYHAN,18,GÜRSELPAŞA,01200
1,ADANA,1,SEYHAN,19,YEŞİLOBA,01210
1,ADANA,1,SEYHAN,20,2000 EVLER,01360
1,ADANA,1,SEYHAN,21,KÜÇÜKDİKİLİ,01430
1,ADANA,1,SEYHAN,22,KARAYUSUFLU,01000
1,ADANA,1,SEYHAN,23,KÖYLER,01000
1,ADANA,1,SEYHAN,24,HADIRLI,01365
1,ADANA,2,YÜREĞİR,25,KARACAOĞLAN,01060
1,ADANA,2,YÜREĞİR,26,BAHÇELİEVLER,01180
1,ADANA,2,YÜREĞİR,27,YAVUZLAR,01220
1,ADANA,2,YÜREĞİR,28,KAZIMKARABEKİR,01230
1,ADANA,2,YÜREĞİR,29,PTTEVLERİ,01240
1,ADANA,2,YÜREĞİR,30,KİREMİTHANE,01250
1,ADANA,2,YÜREĞİR,31,HAYDAROĞLU,01270
1,ADANA,2,YÜREĞİR,32,KARŞIYAKA,01280
1,ADANA,2,YÜREĞİR,33,YAMAÇLI,01290
1,ADANA,2,YÜREĞİR,34,ANADOLU,01300
1,ADANA,2,YÜREĞİR,35,KERESTECİLER,01310
1,ADANA,2,YÜREĞİR,36,ÜNİVERSİTE,01330
1,ADANA,2,YÜREĞİR,37,ABDİOĞLU,01345
1,ADANA,2,YÜREĞİR,38,DOĞANKENT,01370
1,ADANA,2,YÜREĞİR,39,HAVUTLU,01375
1,ADANA,2,YÜREĞİR,40,SOLAKLI,01000
1,ADANA,2,YÜREĞİR,41,YUNUSOĞLU,01370
1,ADANA,2,YÜREĞİR,42,GEÇİTLİ,01350
1,ADANA,2,YÜREĞİR,43,YAKAPINAR,01350
1,ADANA,2,YÜREĞİR,44,KÖYLER,01370
1,ADANA,3,SARIÇAM,45,SARIÇAM,01260
1,ADANA,3,SARIÇAM,46,YILDIRIMBEYAZIT,01030
1,ADANA,3,SARIÇAM,47,MEHMETAKİFERSOY,01180
1,ADANA,3,SARIÇAM,48,REMZİOĞUZARIK,01250
1,ADANA,3,SARIÇAM,49,BAKLALI,01410
1,ADANA,3,SARIÇAM,50,BURUK,01460
1,ADANA,3,SARIÇAM,51,SOFULU,01000
1,ADANA,3,SARIÇAM,52,KÜRKÇÜLER,01220
1,ADANA,3,SARIÇAM,53,SULUCA,01350
1,ADANA,3,SARIÇAM,54,İNCİRLİK,01340
1,ADANA,3,SARIÇAM,55,KÖYLER,01350
1,ADANA,4,ÇUKUROVA,56,MAHFESIĞMAZ,01170
1,ADANA,4,ÇUKUROVA,57,BEYAZEVLER,01150
1,ADANA,4,ÇUKUROVA,58,YURT,01160
1,ADANA,4,ÇUKUROVA,59,HUZUREVLERİ,01330
1,ADANA,4,ÇUKUROVA,60,YÜZÜNCÜYIL,01360
1,ADANA,4,ÇUKUROVA,61,KÖYLER,01150
1,ADANA,5,ALADAĞ(KARSANTI),62,KARSANTI,01720
1,ADANA,5,ALADAĞ(KARSANTI),63,KÖYLER,01730
1,ADANA,6,CEYHAN,64,ÇARŞI,01920
1,ADANA,6,CEYHAN,65,SANAYİ,01930
1,ADANA,6,CEYHAN,66,EMEK,01940
1,ADANA,6,CEYHAN,67,NAMIKKEMAL,01950
1,ADANA,6,CEYHAN,68,TÜRLÜBAŞ,01960
1,ADANA,6,CEYHAN,69,KÖYLER,01920
1,ADANA,6,CEYHAN,70,KÖSRELİ,01980
1,ADANA,6,CEYHAN,71,DORUK,01955
1,ADANA,6,CEYHAN,72,MERCİMEK,01945
1,ADANA,6,CEYHAN,73,MUSTAFABEYLİ,01970
1,ADANA,6,CEYHAN,74,SARIMAZI,01956
1,ADANA,6,CEYHAN,75,KURTPINARI,01920
1,ADANA,6,CEYHAN,76,BÜYÜKMANGIT,01995
1,ADANA,7,FEKE,77,FEKE,01660
1,ADANA,7,FEKE,78,KÖYLER,01660
1,ADANA,8,İMAMOĞLU,79,İMAMOĞLU,01700
1,ADANA,8,İMAMOĞLU,80,KÖYLER,01700
1,ADANA,9,KARAİSALI,81,KARAİSALI,01770
1,ADANA,9,KARAİSALI,82,ÇATALAN,01790
1,ADANA,9,KARAİSALI,83,KÖYLER,01770
1,ADANA,9,KARAİSALI,84,SALBAŞ,01780
1,ADANA,10,KARATAŞ,85,KARATAŞ,01900
1,ADANA,10,KARATAŞ,86,KÖYLER,01900
1,ADANA,10,KARATAŞ,87,TUZLA,01900
1,ADANA,10,KARATAŞ,88,BAHÇE,01900
1,ADANA,11,KOZAN,89,ŞEVKİYE,01500
1,ADANA,11,KOZAN,90,ÇARŞI,01510
1,ADANA,11,KOZAN,91,ASLANPAŞA,01520
1,ADANA,11,KOZAN,92,MAHMUTLU,01530
1,ADANA,11,KOZAN,93,KÖYLER,01500
1,ADANA,11,KOZAN,94,TEPECİKÖREN,01513
1,ADANA,12,POZANTI,95,POZANTI,01470
1,ADANA,12,POZANTI,96,KÖYLER,01470
1,ADANA,12,POZANTI,97,KAMIŞLI,01480
1,ADANA,12,POZANTI,98,AKÇATEKİR,01490
1,ADANA,13,SAİMBEYLİ,99,SAİMBEYLİ,01740
1,ADANA,13,SAİMBEYLİ,100,KÖYLER,01740
1,ADANA,14,TUFANBEYLİ,101,TUFANBEYLİ,01640
1,ADANA,14,TUFANBEYLİ,102,KÖYLER,01640
1,ADANA,15,YUMURTALIK,103,YUMURTALIK,01680
1,ADANA,15,YUMURTALIK,104,KÖYLER,01680
2,ADIYAMAN,16,ADIYAMAN,105,SÜMEREVLER,02030
2,ADIYAMAN,16,ADIYAMAN,106,YENİSANAYİ,02040
2,ADIYAMAN,16,ADIYAMAN,107,ESKİSARAY,02100
2,ADIYAMAN,16,ADIYAMAN,108,İMAMAĞA,02200
2,ADIYAMAN,16,ADIYAMAN,109,KÖYLER,02000
2,ADIYAMAN,16,ADIYAMAN,110,AKPINAR,02246
2,ADIYAMAN,16,ADIYAMAN,111,BAĞPINAR,02256
2,ADIYAMAN,16,ADIYAMAN,112,KUYUCAK,02000
2,ADIYAMAN,16,ADIYAMAN,113,KÖMÜR,02000
2,ADIYAMAN,16,ADIYAMAN,114,HASANCIK,02000
2,ADIYAMAN,16,ADIYAMAN,115,KARICIK,02000
2,ADIYAMAN,17,BESNİ,116,BESNİ,02300
2,ADIYAMAN,17,BESNİ,117,KÖYLER,02300
2,ADIYAMAN,17,BESNİ,118,ÇAKIRHÜYÜK,02300
2,ADIYAMAN,17,BESNİ,119,SUVARLI,02300
2,ADIYAMAN,17,BESNİ,120,ŞAMBAYAT,02300
2,ADIYAMAN,17,BESNİ,121,ÜÇGÖZ,02300
2,ADIYAMAN,17,BESNİ,122,KESMETEPE,02300
2,ADIYAMAN,18,ÇELİKHAN,123,ÇELİKHAN,02600
2,ADIYAMAN,18,ÇELİKHAN,124,KÖYLER,02600
2,ADIYAMAN,18,ÇELİKHAN,125,PINARBAŞI,02610
2,ADIYAMAN,19,GERGER,126,GERGER,02700
2,ADIYAMAN,19,GERGER,127,KÖYLER,02700
2,ADIYAMAN,20,GÖLBAŞI,128,GÖLBAŞI,02500
2,ADIYAMAN,20,GÖLBAŞI,129,KÖYLER,02500
2,ADIYAMAN,20,GÖLBAŞI,130,BELÖREN,02540
2,ADIYAMAN,20,GÖLBAŞI,131,HARMANLI,02520
2,ADIYAMAN,20,GÖLBAŞI,132,BALKAR,02500
2,ADIYAMAN,21,KAHTA,133,KAHTA,02400
2,ADIYAMAN,21,KAHTA,134,KÖYLER,02400
2,ADIYAMAN,21,KAHTA,135,AKINCILAR,02420
2,ADIYAMAN,21,KAHTA,136,DAMLACIK,02430
2,ADIYAMAN,21,KAHTA,137,NARİNCE,02440
2,ADIYAMAN,21,KAHTA,138,BÖLÜKYAYLA,02440
2,ADIYAMAN,22,SAMSAT,139,SAMSAT,02800
2,ADIYAMAN,22,SAMSAT,140,KÖYLER,02800
2,ADIYAMAN,23,SİNCİK,141,SİNCİK,02900
2,ADIYAMAN,23,SİNCİK,142,KÖYLER,02900
2,ADIYAMAN,23,SİNCİK,143,YARPUZLU,
2,ADIYAMAN,23,SİNCİK,144,İNLİCE,02900
2,ADIYAMAN,24,TUT,145,TUT,02350
2,ADIYAMAN,24,TUT,146,KÖYLER,02350
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,147,SAHİPATA,03030
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,148,HARBİŞ,03040
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,149,ÇARŞI,03100
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,150,DUMLUPINAR,03200
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,151,KÖYLER,03030
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,152,TAŞOLUK,03120
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,153,SÜLÜMENLİ,03140
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,154,SUSUZ,03103
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,155,SÜLÜN,03103
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,156,KAYIHAN,03104
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,157,YAYLABAĞI,03104
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,158,FETHİBEY,03104
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,159,ÇAYIRBAĞ,03104
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,160,GEBECELER,03103
3,AFYONKARAHİSAR,25,AFYONKARAHİSAR,161,BEYYAZI,03103
